Ticker,SimFinId,Fiscal_Year,Revenue,Cost_of_Revenue,Gross_Profit,Operating_Expenses,Operating_Income,Net_Interest_Expense,Net_Income_Tax,Net_Income,Common_Net_Income,Basic_Shares,Diluted_Shares,Research_Development,Depreciation_Amortization
ABML,11795344,2023,,,,-6383942.0,-6383942.0,-134989.0,,-7231985,-7231985,44348562.0,44348562.0,-3435096.0,
ABNB,1214552,2020,3378000000.0,-876000000.0,2502000000.0,-5941000000.0,-3439000000.0,-145000000.0,97000000.0,-4585000000,-4585000000,601021000.0,601021000.0,-2753000000.0,
ABNB,1214552,2021,5992000000.0,-1156000000.0,4836000000.0,-4294000000.0,542000000.0,-425000000.0,-52000000.0,-352000000,-352000000,621012000.0,681916000.0,-1425000000.0,
ABNB,1214552,2022,8399000000.0,-1499000000.0,6900000000.0,-5009000000.0,1891000000.0,186000000.0,-96000000.0,1893000000,1893000000,615891000.0,615891000.0,-1502000000.0,
ABNB,1214552,2023,9917000000.0,-1703000000.0,8214000000.0,-6696000000.0,1518000000.0,721000000.0,2690000000.0,4792000000,4792000000,635000000.0,665000000.0,-1722000000.0,
ABNB,1214552,2024,11102000000.0,-1878000000.0,9224000000.0,-6671000000.0,2553000000.0,818000000.0,-683000000.0,2648000000,2648000000,635000000.0,665000000.0,-2056000000.0,
ABOS,12444265,2020,1436000.0,,,-9348000.0,-7912000.0,1000.0,,-7325000,-7325000,38651795.0,38651795.0,-7997000.0,
ABOS,12444265,2021,,,,-19584000.0,-19584000.0,84000.0,,-100606000,-100606000,20057534.0,20057534.0,-12305000.0,
ABOS,12444265,2022,,,,-45237000.0,-45237000.0,2392000.0,,-42856000,-42856000,40601936.0,40601936.0,-32361000.0,
ABOS,12444265,2023,,,,-61138000.0,-61138000.0,10210000.0,,-52371000,-52371000,48609383.0,48609383.0,-42318000.0,
ABOS,12444265,2024,,,,-114017000.0,-114017000.0,10249000.0,,-102329000,-102329000,60013277.0,60013277.0,-93798000.0,
ABR,638468,2020,339465000.0,-169216000.0,170249000.0,-194266000.0,-24017000.0,,-40393000.0,170949000,163395000,113811471.0,133969296.0,,-7640000.0
ABR,638468,2021,328896000.0,,,28148000.0,357044000.0,,-46285000.0,339300000,317412000,113811471.0,133969296.0,,-7215000.0
ABR,638468,2022,1165755000.0,-721578000.0,444177000.0,-82014000.0,362163000.0,,-17484000.0,325783000,284829000,165355167.0,199112630.0,,-8732000.0
ABR,638468,2023,1604102000.0,-1068913000.0,535189000.0,-128741000.0,406448000.0,,-27347000.0,371434000,330065000,184641642.0,218843613.0,,-9743000.0
ABR,638468,2024,1419972000.0,-993703000.0,426269000.0,-125803000.0,300466000.0,,-13478000.0,264641000,223272000,188701149.0,205526610.0,,-9555000.0
ABSI,1250894,2020,4780000.0,,,-18081000.0,-13301000.0,-634000.0,,-14353000,-49469000,16983727.0,16983727.0,-11448000.0,-1131000.0
ABSI,1250894,2021,4782000.0,,,-80020000.0,-75238000.0,-3432000.0,8899000.0,-100960000,-103244000,90375022.0,90375022.0,-44586000.0,-6654000.0
ABSI,1250894,2022,5747000.0,,,-112497000.0,-106750000.0,-972000.0,461000.0,-104904000,-104904000,90845629.0,90845629.0,-58908000.0,-13037000.0
